Date	Hours of Sleep
1/5	5
1/6	6
1/7	6
1/8	8
1/9	8
1/10	6
1/11	7
1/12	7
1/13	5
1/14	6
1/15	8
1/16	7
1/17	8
1/18	9
1/19	5
1/20	6
1/21	7
1/22	8
1/23	6
1/24	6
1/25	6
1/26	6
1/27	7
1/28	8
1/29	8
1/30	8
